,ra,dec
294,322.781637,-57.288808
295,310.12032400000004,-39.857775
296,11.48674,-63.800066
297,41.900878999999996,-14.244113
298,21.807885,-26.478762
299,41.536685,-29.564803
300,40.224436,-20.417339000000002
301,40.603365000000004,-9.44823
302,74.232333,-18.33011
303,34.630687,-61.065598
304,45.040991999999996,-23.579217
305,31.471702,-4.596492
306,344.494302,-45.429224
307,81.610151,-46.269124
308,71.73925,-18.325134
309,310.864502,-51.258282
310,80.831587,-23.759047
311,21.020232,-34.835614
312,8.237956,1.461745
313,4.862074,-40.58093
314,46.93278,-53.307139
315,89.970395,-40.535062
316,18.889517,-41.412092
317,73.238969,-59.768117000000004
318,38.603334000000004,-17.546395999999998
319,83.23633699999998,-54.295279
320,25.448055,-46.48211
321,25.361017999999998,-0.599296
322,83.656786,-21.834321
323,44.190387,-26.380301
324,50.219815000000004,-10.832858
325,65.925793,-24.26513
326,339.390491,-57.06122
327,39.608952,-35.041637
328,43.436279,-18.293056
329,30.756078999999996,-2.638602
330,348.025533,-44.008573
331,64.310846,-42.59118
332,79.881907,-32.696388
333,24.586764000000002,-17.791424
334,0.091337,-4.4970919999999985
335,82.103769,-43.204567
336,46.908063,-38.282849
337,77.695934,-60.756809
338,7.6443439999999985,-33.232468
339,24.399218,-41.171361
340,358.81619,-55.443631999999994
341,309.819375,-43.702549
342,54.044821999999996,-25.359792000000002
343,19.262176,4.97046
344,35.878359,-21.55875
345,75.62270699999999,-18.626573
346,323.42434,0.239744
347,51.560435999999996,-34.553668
348,94.623521,-40.307625
349,10.026285000000001,-55.196351
350,323.351742,-45.059601
351,312.78931,-60.811482999999996
352,13.525023999999998,4.92658
353,73.629356,-18.451068
354,326.441417,-56.218741
355,70.72894000000001,-25.351348
356,43.004958,-13.795967999999998
357,63.187524,-54.95934499999999
358,37.776646,0.49068
359,28.033105,-36.027216
360,1.154875,-41.715385999999995
361,72.862789,-19.613748
362,344.919059,-62.980112
363,89.478008,-61.09848
364,36.255217,-49.788568
365,5.86135,-62.813407
366,319.492329,-48.535231
367,85.089321,-43.479049
368,305.704486,-59.608693
369,344.105953,-1.2074200000000002
370,89.946972,-39.804724
371,26.079499,-32.984067
372,11.601271,-61.354029000000004
373,48.796696999999995,-59.265292
374,54.402551,-23.078418
375,50.549756,-40.336437
376,88.92508000000001,-61.594471999999996
377,76.307919,-29.398985999999997
378,6.820297,-28.889243
379,40.056201,-14.820657
380,54.906943999999996,-36.553011
381,9.982986,3.249367
382,3.176684,-49.911306
383,53.482611,-37.734903
384,353.854506,-63.316095
385,19.335145999999998,-57.746699
386,27.319791,-26.559824
387,11.592857,-47.442613
388,39.942935,-50.588348
389,6.751039,-27.960612
390,33.077276,-44.607115
391,84.991013,-41.020216
392,66.781583,-18.157308
393,93.127261,-36.121445
394,351.88260299999996,-62.41205
395,336.964931,-43.587226
396,12.744253,-59.667899
397,312.749715,-55.239232
398,353.923575,1.207876
399,71.18056999999999,-21.614263
400,24.118182,-52.237286
401,342.37131800000003,-40.735434999999995
402,6.5674410000000005,-0.623033
403,324.635938,-48.091511
404,24.003281,-50.413571000000005
405,78.580651,-23.168624
406,12.026881,-25.244456
