ra,dec,mu_0,m_tot,r_e,n,ell,g-i,g-r,A_g,A_r,A_i
337.90952663,2.5108001035,22.180873912,19.7604879284,3.6788976,1.29395,0.506416,0.411749759164,0.220686647015,0.220317595323,0.156123603738,0.111419507687
337.621573418,1.75685589072,27.1652033368,22.8417444849,4.7019504,0.166851,0.604728,0.134504164791,-0.012686622381,0.250388488166,0.177432733185,0.126627026957
339.107855326,1.81430684355,26.2883924246,22.7839742889,3.012492,0.855977,0.0,0.855864480544,0.235370475957,0.22377347106,0.158572540117,0.113167220904
337.406949987,2.26748660294,22.0588779911,20.7702424722,9.3072504,3.08882,0.345424,0.498901916739,0.292214192321,0.269788299601,0.191180016822,0.13643794304
337.599190998,1.77558573367,26.4119387184,20.3746478624,9.3406488,0.347766,0.444476,0.290661283638,0.356345772004,0.250930076467,0.177816518771,0.126900920205
337.62241342,1.84412153905,26.7046034498,22.0679322972,4.8574176,0.213786,0.493144,0.243779184725,0.280812578352,0.255496303382,0.181052283034,0.129210162707
337.621512362,1.84474489543,26.4205387369,22.141685495,5.0269464,0.206973,0.661039,0.770546717819,0.386032417479,0.255604626291,0.18112904387,0.12926494401
337.611068816,1.8686969062,26.0833086245,22.8932289932,3.0655128,0.873633,0.257673,0.496525911543,0.052402228204,0.257158350406,0.18223005901,0.130050696849
337.617924488,1.8943788057,25.4835490626,22.3182350674,3.2794776,1.16529,0.0,0.673573381293,0.242200482392,0.258370744323,0.183089197415,0.130663831416
337.602094707,1.89463093024,26.9739140645,21.8221830416,6.850872,0.273201,0.572685,0.172030848842,0.28450668367,0.258876221549,0.183447393619,0.130919462491
338.121012394,2.07934158342,26.5129308925,21.8891760767,5.17314,0.481645,0.429735,0.07338610076,0.008233006695,0.203701592236,0.144349009531,0.103016425396
337.161647616,2.37318391795,24.8563919889,22.738519529,2.74848,1.27552,0.350721,0.694916410714,0.663731034326,0.289702340268,0.205291698594,0.146508916282
337.112842385,2.47799814246,17.3493980604,21.8594018274,4.7631192,5.0,0.566499,0.699148824221,0.417125811989,0.297861177291,0.21107329328,0.150635021612
337.179477251,2.50005985934,26.3194264216,21.8633983386,5.886636,0.342988,0.675512,0.781731977759,0.370698282186,0.291006107717,0.206215587003,0.147168260476
337.098585294,2.49991692204,25.8146212145,21.9428345892,3.7149336,0.699538,0.264724,0.12253588614,0.301866312164,0.299624998872,0.212323189736,0.151527025412
